var_pop|case|n_pt|deaths_n|deaths_prop|hr|hr_lcl|hr_ucl
def01_00#inc_2011_2015|0|3971775|55854|0.0140627301|1||
def01_00#inc_2011_2015|1|397926|29619|0.0744334374|5.5081779169|5.430518297|5.5869481152
def01_00#inc_2016_2021|0|4625490|63359|0.013697792|1||
def01_00#inc_2016_2021|1|463442|29265|0.0631470605|4.8711739918|4.8037982986|4.9394946632
def01_01#inc_2011_2015|0|372701|4282|0.0114891025|1||
def01_01#inc_2011_2015|1|37286|3631|0.0973823955|7.7899495973|7.4474685508|8.1481800581
def01_01#inc_2016_2021|0|319623|3785|0.0118420764|1||
def01_01#inc_2016_2021|1|31920|3313|0.1037907268|8.4711524821|8.0809443833|8.8802027301
def01_02#inc_2011_2015|0|536764|4790|0.0089238474|1||
def01_02#inc_2011_2015|1|53884|7332|0.1360700765|12.35707714|11.890648252|12.841802416
def01_02#inc_2016_2021|0|589333|4986|0.008460412|1||
def01_02#inc_2016_2021|1|59202|5390|0.0910442215|9.5652537571|9.1915296037|9.9541733947
def01_03#inc_2011_2015|0|99082|736|0.0074281908|1||
def01_03#inc_2011_2015|1|9940|269|0.0270623742|3.1036878964|2.6957077249|3.5734135677
def01_03#inc_2016_2021|0|97228|522|0.0053688238|1||
def01_03#inc_2016_2021|1|9749|189|0.0193866038|3.375223197|2.8553346247|3.9897711221
def01_04#inc_2011_2015|0|97173|2030|0.0208905766|1||
def01_04#inc_2011_2015|1|9721|2293|0.2358810822|13.160612235|12.386976125|13.982566256
def01_04#inc_2016_2021|0|131180|2900|0.0221070285|1||
def01_04#inc_2016_2021|1|13134|2783|0.2118927973|11.338564964|10.757942471|11.950524534
def01_05#inc_2011_2015|0|23257|179|0.0076966075|1||
def01_05#inc_2011_2015|1|2331|144|0.0617760618|6.7694786865|5.3782618907|8.520567168
def01_05#inc_2016_2021|0|21332|158|0.0074067129|1||
def01_05#inc_2016_2021|1|2133|142|0.066572902|8.0998464212|6.4018077225|10.248279063
def01_06#inc_2011_2015|0|436871|30006|0.0686838907|1||
def01_06#inc_2011_2015|1|43694|8702|0.1991577791|3.1868681034|3.1115226705|3.2640380239
def01_06#inc_2016_2021|0|478494|31038|0.0648660171|1||
def01_06#inc_2016_2021|1|47846|7939|0.1659281863|2.7805812938|2.7127687981|2.8500889338
def01_07#inc_2011_2015|0|794463|13309|0.0167521961|1||
def01_07#inc_2011_2015|1|79731|6194|0.0776862199|4.0556910179|3.933150981|4.1820488743
def01_07#inc_2016_2021|0|732940|10431|0.0142317243|1||
def01_07#inc_2016_2021|1|73587|4779|0.0649435362|4.2828356164|4.1369721925|4.4338419656
def01_08#inc_2011_2015|0|492311|391|0.0007942134|1||
def01_08#inc_2011_2015|1|49383|303|0.0061357147|6.6085626203|5.6736693516|7.6975053004
def01_08#inc_2016_2021|0|665250|461|0.0006929726|1||
def01_08#inc_2016_2021|1|66777|205|0.0030699193|3.9597503253|3.3538037497|4.6751759521
def01_09#inc_2011_2015|0|188421|796|0.0042245822|1||
def01_09#inc_2011_2015|1|18915|505|0.0266983875|5.1800395907|4.6205088363|5.8073279615
def01_09#inc_2016_2021|0|207056|710|0.003429024|1||
def01_09#inc_2016_2021|1|20807|555|0.0266737156|6.3345713172|5.6500269261|7.1020535472
def01_10#inc_2011_2015|0|60492|32|0.0005289956|1||
def01_10#inc_2011_2015|1|6087|14|0.0022999836|4.9252956625|2.5925369925|9.3570650808
def01_10#inc_2016_2021|0|68511|25|0.0003649049|1||
def01_10#inc_2016_2021|1|6884|18|0.0026147589|8.5253267428|4.5306309242|16.042179839
def01_11#inc_2011_2015|0|229083|4167|0.0181899137|1||
def01_11#inc_2011_2015|1|22907|2776|0.1211856638|5.1968857816|4.9440715208|5.4626276569
def01_11#inc_2016_2021|0|222957|4181|0.0187524949|1||
def01_11#inc_2016_2021|1|22295|2772|0.12433281|5.618452282|5.3470353072|5.9036464566
def01_12#inc_2011_2015|0|385362|1714|0.004447766|1||
def01_12#inc_2011_2015|1|38649|212|0.0054852648|0.9679640847|0.8388919875|1.1168952419
def01_12#inc_2016_2021|0|500913|2095|0.004182363|1||
def01_12#inc_2016_2021|1|50252|255|0.0050744249|1.0284188823|0.9028544885|1.171446131
def01_13#inc_2011_2015|0|96007|1044|0.0108742071|1||
def01_13#inc_2011_2015|1|9609|756|0.078676241|7.1682115095|6.5181793865|7.8830687525
def01_13#inc_2016_2021|0|134841|1433|0.0106273314|1||
def01_13#inc_2016_2021|1|13514|820|0.0606778156|5.9563478129|5.4623062746|6.4950732319
def01_14#inc_2011_2015|0|84262|199|0.0023616814|1||
def01_14#inc_2011_2015|1|8450|181|0.0214201183|8.9292862603|7.2926170279|10.933270294
def01_14#inc_2016_2021|0|76381|130|0.001701994|1||
def01_14#inc_2016_2021|1|7663|135|0.0176171212|10.272680216|8.059164479|13.094156237
def01_15#inc_2011_2015|0|40976|152|0.0037094885|1||
def01_15#inc_2011_2015|1|4110|59|0.0143552311|3.5460115925|2.6224893056|4.7947567172
def01_15#inc_2016_2021|0|47101|165|0.0035031103|1||
def01_15#inc_2016_2021|1|4722|36|0.0076238882|2.1129778439|1.472200808|3.0326537959
def01_16#inc_2011_2015|0|33627|447|0.0132928896|1||
def01_16#inc_2011_2015|1|3368|293|0.0869952494|5.7494311668|4.9477390251|6.6810231045
def01_16#inc_2016_2021|0|33113|473|0.01428442|1||
def01_16#inc_2016_2021|1|3318|188|0.0566606389|3.6935217892|3.1136203911|4.3814278859
def01_17#inc_2011_2015|0|16589|326|0.0196515763|1||
def01_17#inc_2011_2015|1|1660|402|0.2421686747|14.325363|12.363660173|16.598323005
def01_17#inc_2016_2021|0|21967|401|0.0182546547|1||
def01_17#inc_2016_2021|1|2201|552|0.2507950931|16.267507826|14.290698232|18.517766353
def01_18#inc_2011_2015|0|77084|3397|0.0440688081|1||
def01_18#inc_2011_2015|1|7712|921|0.1194242739|2.848915627|2.64850901|3.0644865541
def01_18#inc_2016_2021|0|90877|3742|0.0411765353|1||
def01_18#inc_2016_2021|1|9090|912|0.100330033|2.6062175094|2.424075571|2.8020453603
def01_19#inc_2011_2015|0|216677|369|0.0017029957|1||
def01_19#inc_2011_2015|1|21832|153|0.0070080616|3.1243494192|2.5813526689|3.7815674746
def01_19#inc_2016_2021|0|194270|228|0.0011736243|1||
def01_19#inc_2016_2021|1|19604|75|0.0038257498|2.7988488673|2.1513417851|3.6412414969
def01_20#inc_2011_2015|0|194792|4868|0.0249907594|1||
def01_20#inc_2011_2015|1|19498|1087|0.0557493076|1.6805207559|1.5720873469|1.7964332685
def01_20#inc_2016_2021|0|244940|6056|0.0247244223|1||
def01_20#inc_2016_2021|1|24518|1277|0.052084183|1.5090178553|1.4188298388|1.6049386794
def01_21#inc_2011_2015|0|192355|1686|0.0087650438|1||
def01_21#inc_2011_2015|1|19269|593|0.0307748197|3.3931385636|3.0883622922|3.7279918035
def01_21#inc_2016_2021|0|232607|1285|0.0055243393|1||
def01_21#inc_2016_2021|1|23308|509|0.0218379955|3.7999759271|3.4274100477|4.213040414
def01_22#inc_2011_2015|0|418706|3468|0.0082826613|1||
def01_22#inc_2011_2015|1|41958|759|0.0180895181|1.536141173|1.418972543|1.6629847525
def01_22#inc_2016_2021|0|612249|5496|0.0089767399|1||
def01_22#inc_2016_2021|1|61408|748|0.0121808233|1.0439268866|0.9668160663|1.1271878723
def01_23#inc_2011_2015|0|817602|3371|0.004123033|1||
def01_23#inc_2011_2015|1|81999|1243|0.0151587214|3.0177524719|2.8256014668|3.2229704325
def01_23#inc_2016_2021|0|951812|3503|0.0036803486|1||
def01_23#inc_2016_2021|1|95445|1156|0.0121116874|2.7982465159|2.6167850108|2.9922915072
def01_24#inc_2011_2015|0|678201|28724|0.0423532257|1||
def01_24#inc_2011_2015|1|67848|14052|0.2071100106|5.6214915503|5.5080650394|5.7372538313
def01_24#inc_2016_2021|0|844641|35216|0.0416934532|1||
def01_24#inc_2016_2021|1|84507|15736|0.1862094264|5.1197320078|5.0237374539|5.2175608444
def01_25#inc_2011_2015|0|649752|10893|0.016764858|1||
def01_25#inc_2011_2015|1|65087|3847|0.0591055049|3.5946284789|3.4639688692|3.7302165202
def01_25#inc_2016_2021|0|776847|16506|0.0212474271|1||
def01_25#inc_2016_2021|1|77847|5720|0.0734774622|3.610142065|3.5023716369|3.7212286647
def02_00#inc_2011_2015|0|5239274|54857|0.0104703438|1||
def02_00#inc_2011_2015|1|524853|30166|0.0574751407|5.3518074723|5.2763211116|5.4283737881
def02_00#inc_2016_2021|0|5800452|59512|0.0102598901|1||
def02_00#inc_2016_2021|1|580846|30710|0.0528711569|5.2299750404|5.15789841|5.3030588719
def02_01#inc_2011_2015|0|448673|4332|0.0096551386|1||
def02_01#inc_2011_2015|1|44907|3108|0.0692097|6.5662711668|6.2670579066|6.8797700098
def02_01#inc_2016_2021|0|485154|4299|0.0088611039|1||
def02_01#inc_2016_2021|1|48529|2970|0.0612005193|6.5306540738|6.2296438361|6.8462088288
def02_02#inc_2011_2015|0|1169185|14351|0.0122743621|1||
def02_02#inc_2011_2015|1|117257|9584|0.0817349924|5.4627442346|5.3203991236|5.6088977311
def02_02#inc_2016_2021|0|1192680|11549|0.0096832344|1||
def02_02#inc_2016_2021|1|119617|6858|0.0573329878|5.4410860094|5.2790648838|5.6080797666
def02_03#inc_2011_2015|0|119046|773|0.0064932883|1||
def02_03#inc_2011_2015|1|11937|261|0.0218647901|2.8334994949|2.4596615167|3.2641561992
def02_03#inc_2016_2021|0|116611|512|0.0043906664|1||
def02_03#inc_2016_2021|1|11688|170|0.0145448323|2.9303934901|2.4617745342|3.4882179043
def02_04#inc_2011_2015|0|97196|2018|0.0207621713|1||
def02_04#inc_2011_2015|1|9721|2293|0.2358810822|13.430472341|12.64060976|14.269690365
def02_04#inc_2016_2021|0|131193|2817|0.0214721822|1||
def02_04#inc_2016_2021|1|13134|2783|0.2118927973|11.639686733|11.039195444|12.272842522
def02_05#inc_2011_2015|0|23252|163|0.0070101497|1||
def02_05#inc_2011_2015|1|2331|144|0.0617760618|7.0850810482|5.5888387172|8.9818969556
def02_05#inc_2016_2021|0|21332|166|0.0077817364|1||
def02_05#inc_2016_2021|1|2133|142|0.066572902|7.852805942|6.2234610187|9.908724579
def02_06#inc_2011_2015|0|450295|30650|0.0680664897|1||
def02_06#inc_2011_2015|1|45039|8522|0.1892137925|3.0207443331|2.9489310967|3.0943063866
def02_06#inc_2016_2021|0|517758|32685|0.0631279478|1||
def02_06#inc_2016_2021|1|51772|7938|0.1533261222|2.6149860648|2.5515540151|2.6799950457
def02_07#inc_2011_2015|0|2430161|38634|0.0158977121|1||
def02_07#inc_2011_2015|1|243549|16978|0.0697108179|3.8016102903|3.7324655022|3.8720360016
def02_07#inc_2016_2021|0|2029831|34990|0.0172378883|1||
def02_07#inc_2016_2021|1|203290|15436|0.0759309361|4.1251556004|4.0467115265|4.2051202849
def02_08#inc_2011_2015|0|492311|391|0.0007942134|1||
def02_08#inc_2011_2015|1|49383|303|0.0061357147|6.6085626203|5.6736693516|7.6975053004
def02_08#inc_2016_2021|0|665250|461|0.0006929726|1||
def02_08#inc_2016_2021|1|66777|205|0.0030699193|3.9597503253|3.3538037497|4.6751759521
def02_09#inc_2011_2015|0|192519|868|0.0045086459|1||
def02_09#inc_2011_2015|1|19324|530|0.0274270337|4.9973286749|4.4730438332|5.5830648696
def02_09#inc_2016_2021|0|211192|802|0.0037974923|1||
def02_09#inc_2016_2021|1|21222|601|0.0283196683|6.5184032095|5.8467965807|7.267155581
def02_10#inc_2011_2015|0|60492|32|0.0005289956|1||
def02_10#inc_2011_2015|1|6087|14|0.0022999836|4.9252956625|2.5925369925|9.3570650808
def02_10#inc_2016_2021|0|68550|26|0.0003792852|1||
def02_10#inc_2016_2021|1|6884|18|0.0026147589|8.551492344|4.5755563617|15.982323357
def02_11#inc_2011_2015|0|228994|4044|0.0176598513|1||
def02_11#inc_2011_2015|1|22907|2776|0.1211856638|5.3937564074|5.1293811926|5.6717578769
def02_11#inc_2016_2021|0|223034|4322|0.0193782114|1||
def02_11#inc_2016_2021|1|22295|2772|0.12433281|5.4139723538|5.1538667476|5.6872049828
def02_12#inc_2011_2015|0|943462|2951|0.0031278419|1||
def02_12#inc_2011_2015|1|94679|335|0.0035382714|0.9446190582|0.8435480807|1.0578000064
def02_12#inc_2016_2021|0|1125358|3333|0.0029617242|1||
def02_12#inc_2016_2021|1|112919|365|0.0032324055|0.9666686028|0.8675834543|1.0770700883
def02_13#inc_2011_2015|0|96011|1151|0.0119882097|1||
def02_13#inc_2011_2015|1|9609|756|0.078676241|6.4443414342|5.8707117235|7.0740207452
def02_13#inc_2016_2021|0|134885|1445|0.0107128294|1||
def02_13#inc_2016_2021|1|13514|820|0.0606778156|5.9065427793|5.4171575694|6.4401389762
def02_14#inc_2011_2015|0|84212|220|0.0026124543|1||
def02_14#inc_2011_2015|1|8450|181|0.0214201183|8.2764285098|6.7922777304|10.084874559
def02_14#inc_2016_2021|0|76393|162|0.0021206131|1||
def02_14#inc_2016_2021|1|7663|135|0.0176171212|8.4069624445|6.6810138676|10.578786236
def02_15#inc_2011_2015|0|40976|152|0.0037094885|1||
def02_15#inc_2011_2015|1|4110|59|0.0143552311|3.5460115925|2.6224893056|4.7947567172
def02_15#inc_2016_2021|0|47109|166|0.0035237428|1||
def02_15#inc_2016_2021|1|4722|36|0.0076238882|2.08742141|1.4551406469|2.9944377901
def02_16#inc_2011_2015|0|33627|447|0.0132928896|1||
def02_16#inc_2011_2015|1|3368|293|0.0869952494|5.7494311668|4.9477390251|6.6810231045
def02_16#inc_2016_2021|0|33097|459|0.0138683264|1||
def02_16#inc_2016_2021|1|3318|188|0.0566606389|3.8692316451|3.2596800663|4.5927677622
def02_17#inc_2011_2015|0|16582|310|0.0186949704|1||
def02_17#inc_2011_2015|1|1660|402|0.2421686747|14.831934505|12.772133188|17.223926335
def02_17#inc_2016_2021|0|21963|427|0.0194417885|1||
def02_17#inc_2016_2021|1|2201|552|0.2507950931|15.382810853|13.544516524|17.470602906
def02_18#inc_2011_2015|0|114152|4119|0.0360834677|1||
def02_18#inc_2011_2015|1|11421|773|0.0676823395|1.8143375096|1.6799879558|1.9594310706
def02_18#inc_2016_2021|0|139787|5019|0.0359046263|1||
def02_18#inc_2016_2021|1|13982|836|0.0597911601|1.6505930835|1.5339851671|1.7760651051
def02_19#inc_2011_2015|0|216663|343|0.0015831037|1||
def02_19#inc_2011_2015|1|21832|153|0.0070080616|3.5425198637|2.921067762|4.2961848225
def02_19#inc_2016_2021|0|194270|228|0.0011736243|1||
def02_19#inc_2016_2021|1|19604|75|0.0038257498|2.7988488673|2.1513417851|3.6412414969
def02_20#inc_2011_2015|0|194807|4924|0.0252762991|1||
def02_20#inc_2011_2015|1|19498|1087|0.0557493076|1.6666358438|1.5591352368|1.7815484958
def02_20#inc_2016_2021|0|244940|6056|0.0247244223|1||
def02_20#inc_2016_2021|1|24518|1277|0.052084183|1.5090178553|1.4188298388|1.6049386794
def02_21#inc_2011_2015|0|192355|1686|0.0087650438|1||
def02_21#inc_2011_2015|1|19269|593|0.0307748197|3.3931385636|3.0883622922|3.7279918035
def02_21#inc_2016_2021|0|232607|1285|0.0055243393|1||
def02_21#inc_2016_2021|1|23308|509|0.0218379955|3.7999759271|3.4274100477|4.213040414
def02_22#inc_2011_2015|0|2339940|38590|0.0164918759|1||
def02_22#inc_2011_2015|1|234342|17134|0.0731153613|3.7526635891|3.6847014158|3.8218792852
def02_22#inc_2016_2021|0|3175459|45805|0.0144246863|1||
def02_22#inc_2016_2021|1|318202|20964|0.0658826783|4.159381949|4.0911219539|4.228780856
def02_23#inc_2011_2015|0|817462|3456|0.0042277195|1||
def02_23#inc_2011_2015|1|81999|1243|0.0151587214|2.9358591347|2.7495296239|3.1348157824
def02_23#inc_2016_2021|0|951691|3506|0.0036839689|1||
def02_23#inc_2016_2021|1|95445|1156|0.0121116874|2.781115091|2.6008518041|2.9738723049
def02_24#inc_2011_2015|0|678230|28660|0.0422570514|1||
def02_24#inc_2011_2015|1|67848|14052|0.2071100106|5.6213506626|5.507886053|5.7371526877
def02_24#inc_2016_2021|0|844596|35403|0.0419170822|1||
def02_24#inc_2016_2021|1|84507|15736|0.1862094264|5.0863554511|4.9910626596|5.183467638
def02_25#inc_2011_2015|0|649746|10915|0.0167988722|1||
def02_25#inc_2011_2015|1|65087|3847|0.0591055049|3.5803381551|3.4501906563|3.7153950555
def02_25#inc_2016_2021|0|776847|16506|0.0212474271|1||
def02_25#inc_2016_2021|1|77847|5720|0.0734774622|3.610142065|3.5023716369|3.7212286647
def03_00#inc_2011_2015|0|5047497|49696|0.009845672|1||
def03_00#inc_2011_2015|1|505611|28013|0.0554042535|5.4849984688|5.4043560009|5.5668442638
def03_00#inc_2016_2021|0|5669442|56268|0.0099247862|1||
def03_00#inc_2016_2021|1|567664|29186|0.0514142169|5.2619523464|5.1875130341|5.3374598414
def03_01#inc_2011_2015|0|448984|4355|0.0096996775|1||
def03_01#inc_2011_2015|1|44942|3109|0.0691780517|6.5391536264|6.2415390201|6.8509593567
def03_01#inc_2016_2021|0|485215|4299|0.0088599899|1||
def03_01#inc_2016_2021|1|48536|2971|0.061212296|6.5401253261|6.2387237238|6.8560880677
def03_02#inc_2011_2015|0|1169145|13980|0.0119574561|1||
def03_02#inc_2011_2015|1|117257|9584|0.0817349924|5.6041484087|5.4571932516|5.7550608781
def03_02#inc_2016_2021|0|1192680|11549|0.0096832344|1||
def03_02#inc_2016_2021|1|119617|6858|0.0573329878|5.4410860094|5.2790648838|5.6080797666
def03_03#inc_2011_2015|0|119046|773|0.0064932883|1||
def03_03#inc_2011_2015|1|11937|261|0.0218647901|2.8334994949|2.4596615167|3.2641561992
def03_03#inc_2016_2021|0|116643|592|0.0050753153|1||
def03_03#inc_2016_2021|1|11688|170|0.0145448323|2.5493529768|2.148365729|3.0251835209
def03_04#inc_2011_2015|0|97200|2077|0.0213683128|1||
def03_04#inc_2011_2015|1|9721|2293|0.2358810822|12.814907687|12.065836162|13.610483089
def03_04#inc_2016_2021|0|131183|2910|0.0221827523|1||
def03_04#inc_2016_2021|1|13134|2783|0.2118927973|11.261795958|10.685726871|11.868921012
def03_05#inc_2011_2015|0|23235|172|0.0074026253|1||
def03_05#inc_2011_2015|1|2331|144|0.0617760618|6.8393728064|5.41464662|8.6389793586
def03_05#inc_2016_2021|0|21330|166|0.007782466|1||
def03_05#inc_2016_2021|1|2133|142|0.066572902|8.0390532917|6.3764498176|10.135166068
def03_06#inc_2011_2015|0|458791|30835|0.0672092521|1||
def03_06#inc_2011_2015|1|45887|8608|0.1875912568|3.0268701625|2.9552370388|3.1002396288
def03_06#inc_2016_2021|0|527650|32683|0.0619406804|1||
def03_06#inc_2016_2021|1|52762|8052|0.1526098328|2.6530889429|2.5890904298|2.7186694052
def03_07#inc_2011_2015|0|2429771|38862|0.0159940999|1||
def03_07#inc_2011_2015|1|243549|16978|0.0697108179|3.7833249807|3.7145849995|3.8533370246
def03_07#inc_2016_2021|0|2029831|34990|0.0172378883|1||
def03_07#inc_2016_2021|1|203290|15436|0.0759309361|4.1251556004|4.0467115265|4.2051202849
def03_08#inc_2011_2015|0|627022|619|0.0009872062|1||
def03_08#inc_2011_2015|1|62876|596|0.0094789745|7.5592486867|6.7383114749|8.480201742
def03_08#inc_2016_2021|0|903961|775|0.0008573379|1||
def03_08#inc_2016_2021|1|90722|432|0.0047617998|4.8241524454|4.2846059558|5.4316422693
def03_09#inc_2011_2015|0|189034|782|0.0041368219|1||
def03_09#inc_2011_2015|1|18968|459|0.0241986504|4.8891312408|4.346457664|5.4995599032
def03_09#inc_2016_2021|0|206126|631|0.0030612344|1||
def03_09#inc_2016_2021|1|20722|449|0.0216677927|6.0635067274|5.358727167|6.8609788644
def03_10#inc_2011_2015|0|60492|32|0.0005289956|1||
def03_10#inc_2011_2015|1|6087|14|0.0022999836|4.9252948576|2.5925367154|9.3570630227
def03_10#inc_2016_2021|0|68550|26|0.0003792852|1||
def03_10#inc_2016_2021|1|6884|18|0.0026147589|8.551492344|4.5755563617|15.982323357
def03_11#inc_2011_2015|0|229083|4167|0.0181899137|1||
def03_11#inc_2011_2015|1|22907|2776|0.1211856638|5.1968857816|4.9440715208|5.4626276569
def03_11#inc_2016_2021|0|223007|4260|0.0191025394|1||
def03_11#inc_2016_2021|1|22295|2772|0.12433281|5.4693766382|5.2061925616|5.7458652281
def03_12#inc_2011_2015|0|1050242|3616|0.003443016|1||
def03_12#inc_2011_2015|1|105365|938|0.0089023869|2.0193834999|1.8787468845|2.1705476951
def03_12#inc_2016_2021|0|1177908|3751|0.0031844592|1||
def03_12#inc_2016_2021|1|118174|722|0.0061096349|1.6522406699|1.5255188643|1.7894890028
def03_13#inc_2011_2015|0|67224|858|0.0127632988|1||
def03_13#inc_2011_2015|1|6733|709|0.1053022427|8.2456113997|7.445357551|9.1318794147
def03_13#inc_2016_2021|0|76303|1030|0.0134988139|1||
def03_13#inc_2016_2021|1|7651|758|0.0990720167|7.5755805349|6.8840846935|8.3365360824
def03_14#inc_2011_2015|0|84228|211|0.0025051052|1||
def03_14#inc_2011_2015|1|8450|181|0.0214201183|8.6393625577|7.0761672508|10.547883163
def03_14#inc_2016_2021|0|76393|162|0.0021206131|1||
def03_14#inc_2016_2021|1|7663|135|0.0176171212|8.4069624445|6.6810138676|10.578786236
def03_15#inc_2011_2015|0|40986|144|0.0035133948|1||
def03_15#inc_2011_2015|1|4110|59|0.0143552311|4.0480993717|2.985015067|5.4897908907
def03_15#inc_2016_2021|0|47101|165|0.0035031103|1||
def03_15#inc_2016_2021|1|4722|36|0.0076238882|2.1129778439|1.472200808|3.0326537959
def03_16#inc_2011_2015|0|33627|447|0.0132928896|1||
def03_16#inc_2011_2015|1|3368|293|0.0869952494|5.7494311668|4.9477390251|6.6810231045
def03_16#inc_2016_2021|0|33099|444|0.0134143025|1||
def03_16#inc_2016_2021|1|3318|188|0.0566606389|3.935329465|3.3116864786|4.6764142977
def03_17#inc_2011_2015|0|21946|442|0.0201403445|1||
def03_17#inc_2011_2015|1|2197|418|0.1902594447|10.677088067|9.332997495|12.214747689
def03_17#inc_2016_2021|0|26779|484|0.0180738638|1||
def03_17#inc_2016_2021|1|2680|570|0.2126865672|13.885089981|12.292847783|15.683568786
def03_18#inc_2011_2015|0|114143|4008|0.0351138484|1||
def03_18#inc_2011_2015|1|11421|773|0.0676823395|1.8681212153|1.7294897221|2.017865056
def03_18#inc_2016_2021|0|139783|4834|0.0345821738|1||
def03_18#inc_2016_2021|1|13982|836|0.0597911601|1.7160351595|1.5944786824|1.8468586009
def03_19#inc_2011_2015|0|216677|369|0.0017029957|1||
def03_19#inc_2011_2015|1|21832|153|0.0070080616|3.1243494192|2.5813526689|3.7815674746
def03_19#inc_2016_2021|0|194153|216|0.0011125247|1||
def03_19#inc_2016_2021|1|19604|75|0.0038257498|2.9196559033|2.240794842|3.8041816384
def03_20#inc_2011_2015|0|194792|4868|0.0249907594|1||
def03_20#inc_2011_2015|1|19498|1087|0.0557493076|1.6805207559|1.5720873469|1.7964332685
def03_20#inc_2016_2021|0|244947|6133|0.0250380695|1||
def03_20#inc_2016_2021|1|24518|1277|0.052084183|1.4859763066|1.3973248339|1.5802521576
def03_21#inc_2011_2015|0|192355|1686|0.0087650438|1||
def03_21#inc_2011_2015|1|19269|593|0.0307748197|3.3931385636|3.0883622922|3.7279918035
def03_21#inc_2016_2021|0|232484|1251|0.0053810155|1||
def03_21#inc_2016_2021|1|23308|509|0.0218379955|3.8989775513|3.5152769578|4.3245599502
def03_22#inc_2011_2015|0|2423741|35150|0.0145023746|1||
def03_22#inc_2011_2015|1|242726|16699|0.068797739|4.0187236522|3.9441578607|4.0946991381
def03_22#inc_2016_2021|0|3175163|42825|0.0134874965|1||
def03_22#inc_2016_2021|1|318207|20113|0.0632072833|4.2783377513|4.2063918583|4.3515142029
def03_23#inc_2011_2015|0|817602|3371|0.004123033|1||
def03_23#inc_2011_2015|1|81999|1243|0.0151587214|3.0177524719|2.8256014668|3.2229704325
def03_23#inc_2016_2021|0|951691|3506|0.0036839689|1||
def03_23#inc_2016_2021|1|95445|1156|0.0121116874|2.781115091|2.6008518041|2.9738723049
def03_24#inc_2011_2015|0|678201|28724|0.0423532257|1||
def03_24#inc_2011_2015|1|67848|14052|0.2071100106|5.6214915503|5.5080650394|5.7372538313
def03_24#inc_2016_2021|0|844596|35403|0.0419170822|1||
def03_24#inc_2016_2021|1|84507|15736|0.1862094264|5.0863554511|4.9910626596|5.183467638
def03_25#inc_2011_2015|0|654214|10932|0.0167101285|1||
def03_25#inc_2011_2015|1|65532|3851|0.0587651834|3.5796574772|3.4496169254|3.7146001805
def03_25#inc_2016_2021|0|781137|16834|0.0215506371|1||
def03_25#inc_2016_2021|1|78275|5723|0.0731140211|3.5532799006|3.4475288137|3.6622748449
def04_00#inc_2011_2015|0|5767566|46347|0.0080357988|1||
def04_00#inc_2011_2015|1|578267|26297|0.0454755329|5.5579013965|5.473597578|5.6435036541
def04_00#inc_2016_2021|0|6305663|52685|0.008355188|1||
def04_00#inc_2016_2021|1|632009|27586|0.0436481126|5.3522341297|5.2743436532|5.4312748776
